name,name_simbadable,ref_discovery,J_2MASS,W1,spt_ir,ra_j2000_formula,dec_j2000_formula,source_j2000_formula,glon_j2000,glat_j2000,2 deg,4 deg,6 deg (Kepler),8 deg,10 deg,12 deg (TESS 1 detector),14 deg,16 deg,18 deg,20 deg
Gaia J041246.85-073416.8,2MASS J04124640-0734097,Kirk21,12.6,11.872,L2 pec,63.1934,-7.5695,Gaia23,200.2804,-38.5506,0,1,4,9,10,15,21,32,39,48
DENIS-P J1733423-165449,DENIS J173342.3-165449,Phan08a,13.528,11.882,L0.9,263.4261,-16.9139,Gaia23,8.8061,8.664,0,1,1,3,3,3,7,8,12,16
SDSSp J053951.99-005902.0,SIPS J0539-0059,Fan_00b,14.033,11.891,L5,84.9667,-0.9837,Gaia23,205.4599,-16.3333,0,0,1,1,3,9,11,13,17,21
2MASSW J1448256+103159,2MASS J14482563+1031590,Wils03,14.556,11.903,L4.7 FLD-G,222.1068,10.5331,Gaia23,7.4956,57.8655,1,1,6,8,12,19,30,36,47,52
2MASS J05445741+3705039,2MASS J05445741+3705039,Smit14b-phot;Gagn18c-phot;Hurt24,14.029,11.904,L1.9 INT-G,86.2392,37.0845,Gaia23,172.9637,4.122,0,0,1,3,6,8,10,10,14,18
SSSPM J2307-5009,SSSPM J2307-5009,Lodi05b,13.386,11.908,L0.5,346.7449,-50.1497,Gaia23,336.7585,-59.5578,0,2,2,3,4,6,11,16,19,27
2MASS J20360316+1051295,2MASS J20360316+1051295,Reid08b,13.95,11.912,L3.5,309.0132,10.8582,Gaia23,55.4262,-17.4196,0,1,1,3,4,6,7,14,18,22
SDSSp J120358.19+001550.3,2MASS J12035812+0015500,Fan_00b,14.006,11.914,L5.0,180.9922,0.2639,Gaia23,277.9881,60.8158,1,3,6,11,13,18,21,29,36,47
2MASSI J0451009-340214,2MASS J04510093-3402150,Cruz03,13.541,11.919,L0.6,72.7539,-34.0375,Gaia23,236.2242,-38.6939,0,2,4,5,9,12,15,21,26,27
Gl 417BC,HD 97334B,Kirk00,14.584,11.946,L5: FLD-G,168.1068,35.8035,Gaia23,184.3756,67.2562,1,1,1,1,3,8,13,21,28,37
2MASS J01282664-5545343,SIPS J0128-5545,Kend07a,13.775,11.968,L1,22.111,-55.7595,Gaia23,292.3136,-60.5993,0,2,4,8,10,13,18,20,23,26
2MASS J06085283-2753583,DENIS J060852.8-275358,Cruz03,13.595,11.976,L0: VL-G,92.2201,-27.8995,Gaia23,234.4263,-21.0131,0,0,0,1,3,5,7,11,17,21
2MASSI J1721039+334415,2MASSI J1721039+334415,Cruz03,13.625,11.994,L5:,260.2651,33.738,Gaia23,57.3528,32.5207,0,2,2,9,14,20,26,32,39,53
DENIS-P J122813.8-154711,SIPS J1228-1547,Delf97b,14.378,12.01,L6::,187.0635,-15.793,PS1,294.7844,46.7116,0,1,1,5,6,10,15,17,25,36
DENIS-P J0812316-244442,DENIS J081231.6-244442,Phan08a,13.817,12.013,L0.9,123.1322,-24.7451,Gaia23,244.1358,5.117,0,0,1,1,5,6,10,10,13,20
WISE J062442.37+662625.6,2MASS J06244172+6626309,Cast13,13.412,12.025,L1,96.174,66.442,Gaia23,148.3045,22.1215,0,2,3,4,4,6,8,10,11,14
2MASS J02284355-6325052,2MASS J02284355-6325052,Kend07a,13.556,12.032,L0:,37.1811,-63.4182,Gaia23,286.1206,-50.4156,1,1,2,4,7,9,14,17,21,23
2MASSW J1146345+223053,2MASS J11463449+2230527,Kirk99a,14.165,12.032,L2.5,176.6438,22.5146,PS1,226.7983,74.5906,1,4,4,6,7,14,17,23,32,40
2MASS J22551861-5713056,SIPS J2255-5713,Kend07a,14.083,12.042,L5.5,343.8274,-57.2184,Gaia23,329.2007,-53.5802,0,1,2,4,6,9,11,12,15,21
2MASSI J0439010-235308,2MASS J04390101-2353083,Cruz03,14.408,12.043,L6,69.7542,-23.8857,Gaia23,222.7574,-38.9834,1,1,2,7,11,14,18,22,30,36
2MASSI J2104149-103736,2MASS J21041491-1037369,Cruz03,13.841,12.044,L2,316.0623,-10.627,Gaia23,38.577,-34.2698,1,1,5,8,8,11,15,21,26,29
2MASS J05012406-0010452,2MASS J05012406-0010452,Reid08b,14.982,12.046,L3: VL-G,75.3504,-0.1793,Gaia23,199.7442,-24.362,0,1,3,4,9,13,18,23,28,40
DENIS-P J1745346-164053,DENIS J174534.6-164053,Phan08a,13.646,12.047,L1.3,266.3944,-16.6817,Gaia23,10.4976,6.3582,0,2,2,2,3,3,4,7,10,12
2MASSW J1239272+551537,2MASSW J1239272+551537,Kirk00,14.711,12.048,L5,189.8637,55.2603,PS1,126.5435,61.784,0,1,5,6,9,15,20,30,38,46
2MASS J02572581-3105523,2MASS J02572581-3105523,Kirk08,14.672,12.073,L8:,44.3577,-31.0978,Gaia23,228.7508,-62.29,1,1,6,8,11,14,16,22,26,29
2MASS J09153413+0422045,** RED 17A,Reid08b,14.548,12.079,L6,138.8923,4.368,Gaia23,226.8402,33.8308,1,1,2,5,11,14,17,22,27,38
DENIS-P J1058.7-1548,SIPS J1058-1548,Delf97b,14.155,12.082,L2.2 FLD-G,164.6993,-15.8048,Gaia23,267.1142,39.1081,0,3,6,8,9,10,17,22,27,36
2MASS J00464841+0715177,2MASS J00464841+0715177,Reid08b,13.885,12.085,L0.9 VL-G,11.7017,7.2549,Gaia23,120.8988,-55.5985,0,3,7,13,22,30,40,47,52,59
2MASS J19251275+0700362,2MASS J19251275+0700362,Scho18;Fahe18,14.763,12.089,L7,291.3032,7.0101,Gaia23,43.0428,-4.2469,0,0,0,0,0,1,2,3,8,9
WISE J140533.32+835030.5,2MASS J14053729+8350248,Cast13,14.63,12.109,L9,211.4051,83.8402,Gaia23,120.6011,32.949,0,0,1,1,1,1,2,4,9,12
SDSSp J085758.45+570851.4,2MASS J08575849+5708514,Geba02,15.038,12.109,L8:,134.4936,57.1476,Gaia23,159.709,39.5153,1,3,5,7,10,14,22,26,30,36
DENIS-P J153941.96-052042.4,2MASS J15394189-0520428,Kend04,13.922,12.114,L2,234.9247,-5.3452,Gaia23,0.7393,37.9782,0,1,3,3,5,14,17,25,35,48
2MASS J23224684-3133231,2MASS J23224684-3133231,Reid08b,13.577,12.119,L2: INT-G,350.6951,-31.5565,Gaia23,14.6955,-70.2158,0,0,2,5,7,8,14,21,30,40
2MASSW J0228110+253738,2MASSI J0228110+253738,Wils03,13.839,12.124,L0,37.046,25.6273,PS1,148.8552,-32.3287,2,2,8,9,11,15,24,31,37,44
2MASSI J0908380+503208,2MASS J09083803+5032088,Cruz03,14.549,12.126,L9:,137.1584,50.5356,Gaia23,168.0032,42.1283,0,0,5,8,12,19,25,26,35,39
WISEA J050048.17+044214.2,2MASS J05004808+0442143,Kirk16,13.8,12.158,L0.5 pec,75.2004,4.704,Gaia23,195.1009,-21.9844,1,2,3,6,11,17,19,24,34,42
2MASSW J1004392-333518,2MASSW J1004392-333518,Gizi02b,14.48,12.162,L5:,151.1638,-33.5886,Gaia23,267.4026,17.5371,0,0,1,5,6,6,6,9,15,23
2MASSW J0141032+180450,2MASS J01410321+1804502,Wils03,13.875,12.17,L4.5,25.2635,18.0806,Gaia23,139.204,-43.2179,0,0,5,10,15,17,23,35,47,55
DENIS-P J225210.73-173013.4,2MASS J22521073-1730134,Kend04,14.313,12.17,L7.5,343.0448,-17.5039,Gaia23,45.9498,-60.8772,1,3,4,9,12,16,21,26,36,43
DENIS-P J0615493-010041,DENIS J061549.3-010041,Phan08a,13.754,12.177,L1.0,93.9557,-1.0116,Gaia23,209.7536,-8.3822,0,1,1,2,3,4,5,6,9,17
2MASS J06411840-4322329,SIPS J0641-4322,Reid08b,13.751,12.185,L2.4:,100.3268,-43.3757,Gaia23,252.337,-19.9833,0,1,1,1,3,5,7,7,11,15
DENIS-P J0716478-063037,2MASS J07164790-0630369,Phan08a,13.899,12.186,L1.1,109.1996,-6.5103,Gaia23,221.6225,2.6336,0,0,1,2,3,4,6,8,10,18
2MASSI J2238074+435317,2MASS J22380742+4353179,Cruz03,13.84,12.194,L0.6,339.5311,43.8882,Gaia23,98.9842,-12.6976,0,0,0,0,2,5,7,11,12,18
