name,ra_j2000_formula,dec_j2000_formula
SDSS J225913.88-005158.2,344.8079,-0.8662
2MASS J13042886-0032410,196.1203,-0.5448
WISEA J144033.28-080406.9,220.138,-8.068
WISEA J153358.52+475706.9,233.4944,47.9518
SIMP J10390822+2440446,159.7842,24.679
WISE J151314.61+401935.6,228.3106,40.3265
SIMP J14154242+2635040,213.9268,26.5844
SDSS J074007.30+200921.9,115.0297,20.1559
BD+60 1417B,190.885,60.0242
2MASS J17153111+1054108,258.8796,10.903
WISEA J225333.00-253948.0,343.387,-25.6633
WISEA J215550.34-195428.4,328.9599,-19.9068
2MASS J04373705+2331080,69.4044,23.5188
SIMP J16133450-0747057,243.3936,-7.785
2MASS J16382073+1327354,249.5864,13.4597
2MASS J09175418+6028065,139.4757,60.4685
PSO J175.2003+16.1403,175.2003,16.1404
SDSS J135923.99+472843.2,209.85,47.4787
SIMP J09514402-1343474,147.9333,-13.7299
2MASS J16370238+2520386,249.26,25.3441
2MASS J13023811+5650212,195.6588,56.8392
PSO J346.3203-11.1654,346.3199,-11.1655
SIMP J08511977+1043470,132.8322,10.7298
PSO J350.4673-19.0783,350.4671,-19.0782
PSO J127.4696+10.5777,127.4697,10.5778
2MASS J11282763+5934003,172.115,59.5667
2MASS J12352675+4124310,188.8613,41.4087
2MASS J02292794-0053282,37.3665,-0.8912
2MASS J10524963+1858151,163.2067,18.9709
ULAS J230424.80+130111.3,346.1035,13.0201
SDSS J084016.42+543002.1,130.0685,54.5006
ULAS J112029.65-004440.6,170.1235,-0.7446
SDSS J003609.26+241343.3,9.0386,24.2287
ULAS J031451.72+045346.2,48.7155,4.8961
WISE J222219.93+302601.4,335.5829,30.433
SIMP J00132128+0841006,3.3389,8.6835
2MASS J04144158+2809583,63.6731,28.1663
SIMP J03314657+1944246,52.9441,19.7401
2MASS J10551343+2504028,163.8058,25.0674
PSO J228.6775-29.7088,228.6774,-29.7088
SIMP J00081285+0806441,2.0536,8.1122
2MASS J14192618+5919047,214.8593,59.3179
ULAS J001836.51-002559.1,4.6519,-0.4331
SIMP J11303803+2341480,172.6584,23.6967
SDSS J142227.25+221557.1,215.6134,22.2659
SIMP J10520466+1722433,163.0197,17.3787
LP 944-20,54.8969,-35.4288
2MASSW J1507476-162738,226.9487,-16.4611
LHS 102BC,1.1453,-40.7351
SSSPM J0829-1309,127.1424,-13.1555
DENIS-P J142527.97-365023.4,216.3666,-36.8398
2MASSW J1439284+192915,219.8673,19.4878
2MASSW J1506544+132106,226.7264,13.3517
2MASSW J1300425+191235,195.1771,19.2096
2MASSW J2224438-015852,336.1827,-1.9815
DENIS-P J170548.38-051645.7,256.4514,-5.2795
G 196-3B,151.086,50.3832
2MASS J13475911-7610054,206.9961,-76.1681
2MASSW J0015447+351603,3.9366,35.2674
SSSPM J2307-5009,346.7449,-50.1497
2MASSI J0451009-340214,72.7539,-34.0375
2MASSI J1721039+334415,260.2651,33.738
2MASSI J0439010-235308,69.7542,-23.8857
DENIS-P J1745346-164053,266.3944,-16.6817
2MASSW J1239272+551537,189.8637,55.2603
2MASSI J0908380+503208,137.1584,50.5356
2MASSW J0141032+180450,25.2635,18.0806
2MASSI J1029216+162652,157.3404,16.4478
2MASS J05301261+6253254,82.5525,62.8904
DENIS J020529.0-115925,31.3724,-11.9916
2MASS J11544223-3400390,178.6759,-34.0109
2MASS J15230657-2347526,230.7773,-23.798
2MASSI J1213033-043243,183.2639,-4.5455
2MASS J21373742+0808463,324.4058,8.1462
2MASS J23174712-4838501,349.4463,-48.6473
2MASSW J0832045-012835,128.0188,-1.4767
SDSS J092308.70+234013.7,140.7859,23.671
2MASSI J0218291-313322,34.6213,-31.5564
2MASS J22431696-5932206,340.8207,-59.539
2MASS J20135152-2806020,303.4647,-28.1006
2MASSW J1018588-290953,154.7449,-29.1649
2MASS J14090310-3357565,212.263,-33.9657
2MASSI J1305410+204639,196.4211,20.7776
2MASS J21580457-1550098,329.519,-15.8361
DENIS J1707252-013809,256.8554,-1.636
2MASS J23440624-0733282,356.026,-7.5579
2MASS J08355829+0548308,128.9929,5.8086
SDSS J161928.31+005011.9,244.868,0.8366
ULAS J010907.51+062559.0,17.2805,6.4327
2MASSW J1411175+393636,212.8224,39.6101
2MASS J04362054-4218523,69.0856,-42.3145
SDSS J081110.35+185527.9,122.7932,18.9245
2MASS J08234818+2428577,125.9507,24.4827
